original_title,genres,runtime,popularity,genres
Nadja, Horror,93,7.720056,Horror
The Net, Crime,114,13.304342,Crime
Nine Months, Comedy,103,8.482834,Comedy
Party Girl, Comedy,94,1.165039,Comedy
The Prophecy, Fantasy,98,10.187623,Fantasy
Reckless, Fantasy,91,0.119713,Fantasy
Safe, Drama,119,8.180047,Drama
The Scarlet Letter, Drama,135,6.752119,Drama
The Show, Documentary,93,0.159596,Documentary
Showgirls, Drama,128,17.502375,Drama
Smoke, Comedy,112,5.552946,Comedy
Something to Talk About, Comedy,106,3.743212,Comedy
Species, Science Fiction,108,13.492845,Science Fiction
The Stars Fell on Henrietta, Drama,109,0.913522,Drama
Strange Days, Crime,145,11.223055,Crime
Les parapluies de Cherbourg, Drama,91,8.133881,Drama
The Tie That Binds, Thriller,99,1.820419,Thriller
Three Wishes, Drama,115,11.002046,Drama
Total Eclipse, Drama,111,4.546552,Drama
"To Wong Foo, Thanks for Everything! Julie Newmar", Comedy,105,7.653446,Comedy
Under Siege 2: Dark Territory, Action,100,7.490247,Action
Unstrung Heroes, Comedy,93,2.881689,Comedy
Unzipped, Documentary,73,0.786023,Documentary
A Walk in the Clouds, Drama,103,9.715639,Drama
Waterworld, Adventure,135,16.885184,Adventure
White Man's Burden, Drama,89,1.834099,Drama
Wild Bill, Action,98,8.922139,Action
The Browning Version, Drama,97,3.727644,Drama
Bushwhacked, Adventure,90,3.287036,Adventure
Утомлённые солнцем, Drama,135,2.486073,Drama
Before the Rain, Drama,113,3.525649,Drama
Before Sunrise, Drama,105,11.304979,Drama
Billy Madison, Comedy,89,6.638116,Comedy
The Babysitter, Drama,90,2.761837,Drama
Boys on the Side, Comedy,115,3.030309,Comedy
The Cure, Drama,97,2.686342,Drama
Castle Freak, Thriller,95,2.26977,Thriller
Circle of Friends, Drama,103,2.605521,Drama
Clerks, Comedy,92,10.513367,Comedy
Don Juan DeMarco, Romance,97,7.438934,Romance
Disclosure, Drama,123,11.812244,Drama
Dream Man, Thriller,0,0.155859,Thriller
Drop Zone, Action,101,9.579155,Action
Destiny Turns on the Radio, Crime,0,0.710671,Crime
Death and the Maiden, Drama,103,5.484156,Drama
Dolores Claiborne, Crime,132,5.8025,Crime
Dumb and Dumber, Comedy,107,9.844558,Comedy
飲食男女, Comedy,123,4.860016,Comedy
Exotica, Drama,103,5.378467,Drama
Exit to Eden, Thriller,113,4.322726,Thriller
Ed Wood, Comedy,127,11.720358,Comedy
French Kiss, Comedy,111,9.146544,Comedy
Forget Paris, Comedy,101,16.236745,Comedy
Far from Home: The Adventures of Yellow Dog, Action,87,2.657337,Action
A Goofy Movie, Romance,78,10.177977,Romance
Hideaway, Drama,103,8.182165,Drama
Fluke, Drama,96,4.953936,Drama
Farinelli, History,111,8.935058,History
Gordy, Drama,90,0.398924,Drama
Gumby: The Movie, Fantasy,77,0.090452,Fantasy
The Glass Shield, Drama,109,1.012197,Drama
Hoop Dreams, Documentary,171,9.47666,Documentary
Heavenly Creatures, Drama,99,9.438042,Drama
Houseguest, Comedy,113,2.688562,Comedy
Immortal Beloved, Drama,121,7.983666,Drama
Heavyweights, Comedy,100,9.546707,Comedy
The Hunted, Action,106,2.756986,Action
I.Q., Comedy,100,5.146352,Comedy
Interview with the Vampire, Horror,123,11.970205,Horror
Jefferson in Paris, Drama,139,1.596058,Drama
The Jerky Boys, Comedy,82,0.748846,Comedy
Junior, Comedy,109,6.710215,Comedy
Just Cause, Action,102,9.195256,Action
A Kid in King Arthur's Court, Adventure,89,5.874511,Adventure
Kiss of Death, Action,101,7.797512,Action
Star Wars, Adventure,121,42.149697,Adventure
Little Women, Drama,115,9.774994,Drama
A Little Princess, Drama,97,7.731725,Drama
Ladybird Ladybird, Drama,101,0.84508,Drama
L'Enfer, Crime,100,1.948315,Crime
Como agua para chocolate, Drama,105,4.126083,Drama
Legends of the Fall, Adventure,133,12.199047,Adventure
Major Payne, Adventure,95,9.253362,Adventure
Little Odessa, Action,98,1.861292,Action
Mi Vida Loca, Crime,92,1.788829,Crime
Love Affair, Drama,108,3.290192,Drama
Losing Isaiah, Drama,106,7.698526,Drama
The Madness of King George, Comedy,107,4.81307,Comedy
Frankenstein, Drama,123,14.287753,Drama
Man of the House, Action,96,2.558118,Action
Mixed Nuts, Comedy,97,2.899608,Comedy
Milk Money, Comedy,108,3.770115,Comedy
Miracle on 34th Street, Fantasy,114,5.831622,Fantasy
Miami Rhapsody, Comedy,95,1.137266,Comedy
My Family, Comedy,128,3.121288,Comedy
Murder in the First, Crime,122,9.518564,Crime
Nobody's Fool, Drama,110,2.891269,Drama
Nell, Drama,112,5.930957,Drama
New Jersey Drive, Crime,98,0.629955,Crime
New York Cop, Action,93,0.004537,Action
Beyond Bedlam, Horror,89,0.426952,Horror
Nemesis 2 - Nebula, Science Fiction,83,1.466491,Science Fiction
Nina Takes a Lover, Drama,100,0.769522,Drama
Natural Born Killers, Crime,119,11.226856,Crime
Only You, Comedy,115,4.936761,Comedy
Once Were Warriors, Drama,99,4.025276,Drama
Poison Ivy II: Lily, Drama,106,6.448039,Drama
Outbreak, Action,127,13.676444,Action
Léon, Thriller,110,20.477329,Thriller
The Perez Family, Comedy,113,1.433544,Comedy
A Pyromaniac's Love Story, Comedy,94,0.463307,Comedy
Pulp Fiction, Thriller,154,140.950236,Thriller
Panther, Drama,124,7.160149,Drama
Pushing Hands, Comedy,105,1.638622,Comedy
Priest, Drama,98,1.881932,Drama
Quiz Show, History,133,7.772505,History
Picture Bride, Drama,94,1.296912,Drama
La Reine Margot, Drama,162,4.405405,Drama
The Quick and the Dead, Action,107,7.54701,Action
Roommates, Drama,108,3.395867,Drama
Prêt-à-Porter, Drama,133,6.259433,Drama
Trois couleurs : Rouge, Drama,99,7.832755,Drama
Trois couleurs : Bleu, Drama,98,8.843517,Drama
Trois couleurs : Blanc, Comedy,91,6.5898,Comedy
Pao Da Shuang Deng, Drama,111,0.078257,Drama
Rent-a-Kid, Comedy,85,1.155255,Comedy
Relative Fear, Horror,90,0.499601,Horror
Stuart Saves His Family, Comedy,95,1.390885,Comedy
The Swan Princess, Animation,89,8.910462,Animation
The Secret of Roan Inish, Drama,97,1.750481,Drama
The Specialist, Action,110,10.388183,Action
Stargate, Action,121,13.328924,Action
The Santa Clause, Fantasy,97,9.665424,Fantasy
The Shawshank Redemption, Drama,142,51.645403,Drama
Shallow Grave, Crime,92,8.223026,Crime
Suture, Drama,96,1.298224,Drama
Fresa y chocolate, Comedy,108,1.777197,Comedy
Swimming with Sharks, Crime,101,5.869261,Crime
The Sum of Us, Comedy,100,1.407427,Comedy
Senior Trip, Comedy,91,5.05806,Comedy
活着, Drama,125,5.260627,Drama
Tank Girl, Action,98,7.602087,Action
Tales from the Crypt: Demon Knight, Horror,92,9.455342,Horror
Star Trek: Generations, Science Fiction,118,8.105708,Science Fiction
Tales from the Hood, Crime,98,2.86007,Crime
Tom & Viv, Drama,115,0.704204,Drama
Village of the Damned, Thriller,99,6.529879,Thriller
Tommy Boy, Comedy,97,11.971318,Comedy
Vanya on 42nd Street, Drama,119,7.039846,Drama
The Underneath, Thriller,99,2.059771,Thriller
The Walking Dead, Drama,88,0.620873,Drama
What's Eating Gilbert Grape, Romance,118,10.3919,Romance
Virtuosity, Action,106,5.188399,Action
While You Were Sleeping, Comedy,103,15.783615,Comedy
The War, Drama,126,3.908596,Drama
Double Happiness, Comedy,87,0.372239,Comedy
Muriel's Wedding, Drama,106,5.254847,Drama
The Baby-Sitters Club, Comedy,94,2.15805,Comedy
Ace Ventura: Pet Detective, Comedy,86,11.247957,Comedy
"The Adventures of Priscilla, Queen of the Desert", Drama,104,8.328596,Drama
Backbeat, Drama,100,2.487951,Drama
Bitter Moon, Thriller,139,11.298195,Thriller
Bullets Over Broadway, Action,98,5.72288,Action
Clear and Present Danger, Action,141,7.513245,Action
The Client, Drama,119,15.263829,Drama
"Corrina, Corrina", Comedy,115,6.924689,Comedy
Crooklyn, Comedy,115,2.533022,Comedy
The Crow, Fantasy,102,15.799336,Fantasy
Cobb, Drama,128,2.583363,Drama
The Flintstones, Fantasy,91,15.019586,Fantasy
Forrest Gump, Comedy,142,48.307194,Comedy
Four Weddings and a Funeral, Comedy,117,8.990345,Comedy
Higher Learning, Romance,127,7.817811,Romance
I Like It Like That, Comedy,104,0.289295,Comedy
I Love Trouble, Action,123,3.570874,Action
It Could Happen to You, Comedy,101,11.272073,Comedy
The Jungle Book, Adventure,111,10.714235,Adventure
Die Macht der Bilder: Leni Riefenstahl, Documentary,180,0.568884,Documentary
The Lion King, Family,89,21.605761,Family
Little Buddha, Drama,140,5.681522,Drama
New Nightmare, Horror,112,9.860522,Horror
The Mask, Romance,101,14.13488,Romance
Maverick, Action,127,15.050326,Action
Mrs. Parker and the Vicious Circle, Drama,125,4.739054,Drama
The Naked Gun 33⅓: The Final Insult, Comedy,83,10.587232,Comedy
The Paper, Comedy,112,4.006063,Comedy
Reality Bites, Drama,99,6.514592,Drama
Red Rock West, Crime,98,5.137903,Crime
Ri¢hie Ri¢h, Comedy,95,6.595255,Comedy
Safe Passage, Drama,98,4.931565,Drama
The River Wild, Action,111,10.511241,Action
Speed, Action,116,10.859292,Action
Speechless, Comedy,99,2.334226,Comedy
Timecop, Thriller,99,8.907074,Thriller
True Lies, Action,141,11.396099,Action
When a Man Loves a Woman, Drama,126,4.322544,Drama
Wolf, Fantasy,125,14.063845,Fantasy
Wyatt Earp, Drama,191,9.277147,Drama
Bad Company, Action,108,0.912415,Action
A Man of No Importance, Comedy,99,0.406113,Comedy
S.F.W., Comedy,96,2.504529,Comedy
A Low Down Dirty Shame, Action,100,3.021526,Action
"Boys Life: Three Stories of Love, Lust, and Liberation", Drama,91,0.054148,Drama
Le colonel Chabert, Drama,110,0.934312,Drama
"Faster, Pussycat! Kill! Kill!", Action,83,4.220541,Action
Jason's Lyric, Crime,119,0.912909,Crime
The Secret Adventures of Tom Thumb, Animation,61,0.381704,Animation
Street Fighter, Action,102,13.58449,Action
Coldblooded, Action,92,2.342756,Action
Desert Winds,[],97,0.251223,[]
Fall Time, Action,88,1.108494,Action
The Fear, Horror,98,0.268043,Horror
Frank and Ollie, Documentary,89,0.142357,Documentary
Girl in the Cadillac, Romance,89,0.405392,Romance
Homage, Thriller,97,0.014925,Thriller
Mirage, Action,92,0.302957,Action
Open Season, Comedy,97,0.012456,Comedy
Dos Crímenes,[],0,0.233376,[]
Brother Minister: The Assassination of Malcolm X, Documentary,115,0.0368,Documentary
Highlander III: The Sorcerer, Action,99,6.866634,Action
Federal Hill,[],97,0.100685,[]
In the Mouth of Madness, Horror,95,8.497643,Horror
8 Seconds, Drama,105,1.888534,Drama
Above the Rim, Crime,96,4.38154,Crime
Addams Family Values, Comedy,94,17.555909,Comedy
Martin Lawrence: You So Crazy, Comedy,84,0.394194,Comedy
The Age of Innocence, Drama,139,8.013617,Drama
Airheads, Comedy,92,7.09232,Comedy
The Air Up There, Comedy,107,1.896273,Comedy
Another Stakeout, Action,105,12.967239,Action
Bad Girls, Action,99,14.644772,Action
Barcelona, Comedy,100,1.632711,Comedy
Being Human, Drama,122,2.783872,Drama
The Beverly Hillbillies, Comedy,93,5.673735,Comedy
Beverly Hills Cop III, Action,104,11.787784,Action
Black Beauty, Action,88,8.398845,Action
Blink, Mystery,106,3.00282,Mystery
Blown Away, Drama,121,13.155071,Drama
Blue Chips, Drama,108,6.131056,Drama
Blue Sky, Drama,101,4.993829,Drama
Body Snatchers, Horror,87,6.559693,Horror
Boxing Helena, Drama,107,4.304224,Drama
A Bronx Tale, Drama,121,6.115628,Drama
Cabin Boy, Comedy,80,1.679042,Comedy
Calendar Girl, Drama,90,1.316741,Drama
Carlito's Way, Action,144,8.698509,Action
City Slickers II: The Legend of Curly's Gold, Action,116,8.605703,Action
Clean Slate, Comedy,107,2.724621,Comedy
Cliffhanger, Action,112,9.830853,Action
Coneheads, Comedy,88,10.722729,Comedy
Color of Night, Drama,121,14.228963,Drama
Cops & Robbersons, Action,93,7.042878,Action
The Cowboy Way, Western,102,4.286279,Western
Dangerous Game, Drama,108,2.70097,Drama
Dave, Comedy,110,13.696394,Comedy
Dazed and Confused, Comedy,102,6.8652,Comedy
Demolition Man, Crime,115,11.626116,Crime
The Endless Summer 2, Documentary,109,0.408159,Documentary
Even Cowgirls Get the Blues, Western,96,2.970724,Western
Fatal Instinct, Comedy,91,3.555139,Comedy
霸王别姬, Drama,171,4.875827,Drama
The Favor, Drama,97,1.344876,Drama
Fearless, Drama,122,9.284624,Drama
Fear of a Black Hat, Comedy,88,0.985441,Comedy
With Honors, Comedy,103,2.969003,Comedy
Flesh and Bone, Drama,126,1.896869,Drama
Widows' Peak, Comedy,101,0.409427,Comedy
For Love or Money, Comedy,94,8.468869,Comedy
The Firm, Drama,154,9.678367,Drama
Free Willy, Family,112,5.990572,Family
Fresh, Crime,114,3.970215,Crime
The Fugitive, Adventure,130,10.08937,Adventure
Geronimo: An American Legend, History,115,4.653462,History
The Getaway, Drama,115,14.214403,Drama
Getting Even with Dad, Family,109,2.410545,Family
Go Fish, Drama,83,0.775898,Drama
A Good Man in Africa, Comedy,94,5.22583,Comedy
Guilty as Sin, Drama,107,5.385108,Drama
Hard Target, Action,97,7.834351,Action
Heaven & Earth, History,140,4.190541,History
Hot Shots! Part Deux, Action,86,13.482371,Action
Live Nude Girls, Comedy,95,2.138959,Comedy
The Englishman Who Went Up a Hill But Came Down a Mountain, Drama,99,5.331753,Drama
The House of the Spirits, Romance,140,10.687795,Romance
House Party 3, Comedy,100,0.996047,Comedy
The Hudsucker Proxy, Comedy,111,7.550545,Comedy
I'll Do Anything, Comedy,115,1.742974,Comedy
In the Army Now, Comedy,91,6.071466,Comedy
In the Line of Fire, Action,128,12.637158,Action
In the Name of the Father, Drama,133,7.405895,Drama
The Inkwell, Comedy,110,0.613335,Comedy
What's Love Got to Do with It, Drama,118,14.820883,Drama
Jimmy Hollywood, Comedy,112,4.563989,Comedy
Judgment Night, Action,110,5.538671,Action
Jurassic Park, Adventure,127,8.863776,Adventure
Kalifornia, Thriller,117,8.4337,Thriller
Killing Zoe, Action,96,4.948569,Action
King of the Hill, Drama,103,4.375347,Drama
Lassie, Action,94,3.645342,Action
Last Action Hero, Adventure,130,9.434006,Adventure
Life With Mikey, Comedy,91,6.446229,Comedy
Lightning Jack, Action,98,2.913584,Action
M. Butterfly, Drama,101,6.516976,Drama
Made in America, Comedy,111,5.43085,Comedy
Malice, Drama,107,9.861672,Drama
The Man without a Face, Drama,114,5.997712,Drama
Manhattan Murder Mystery, Comedy,104,8.939404,Comedy
Menace II Society, Drama,97,5.260924,Drama
Executive Decision, Action,133,13.106291,Action
愛のコリーダ, Drama,105,8.932494,Drama
What Happened Was..., Thriller,91,0.534606,Thriller
Much Ado About Nothing, Drama,111,8.62724,Drama
Mr. Jones, Drama,114,6.579753,Drama
Mr. Wonderful, Comedy,98,13.011091,Comedy
Mrs. Doubtfire, Comedy,125,11.16553,Comedy
Naked, Comedy,131,8.665198,Comedy
The Next Karate Kid, Adventure,107,9.9697,Adventure
The New Age, Comedy,112,0.596207,Comedy
No Escape, Action,118,9.715187,Action
North, Comedy,87,15.534707,Comedy
Orlando, Romance,93,3.800785,Romance
A Perfect World, Crime,138,8.040589,Crime
Philadelphia, Drama,125,13.373006,Drama
The Piano, Drama,121,7.436758,Drama
Poetic Justice, Drama,109,6.972599,Drama
The Program, Drama,112,3.199976,Drama
The Puppet Masters, Horror,109,7.272296,Horror
Radioland Murders, Comedy,108,8.506727,Comedy
The Ref, Comedy,97,5.868677,Comedy
The Remains of the Day, Drama,134,12.222576,Drama
Renaissance Man, Comedy,128,4.985157,Comedy
Rising Sun, Action,125,6.279082,Action
The Road to Wellville, Comedy,118,3.416181,Comedy
RoboCop 3, Action,104,8.685798,Action
Robin Hood: Men in Tights, Comedy,104,17.136672,Comedy
Romeo Is Bleeding, Action,100,9.796318,Action
Romper Stomper, Action,94,5.157926,Action
Ruby in Paradise, Drama,114,0.941994,Drama
Rudy, Drama,114,5.914833,Drama
The Saint of Fort Washington, Drama,99,1.065843,Drama
Les Nuits Fauves, Drama,126,1.031556,Drama
Schindler's List, Drama,195,41.725123,Drama
The Scout, Comedy,101,5.715608,Comedy
Searching for Bobby Fischer, Drama,110,12.048587,Drama
Second Best, Drama,105,0.882596,Drama
The Secret Garden, Drama,102,6.499523,Drama
Serial Mom, Comedy,95,5.305311,Comedy
The Shadow, Adventure,108,7.881107,Adventure
Shadowlands, Drama,131,2.96586,Drama
Short Cuts, Comedy,187,8.829337,Comedy
A Simple Twist of Fate, Drama,106,4.13516,Drama
Sirens, Comedy,98,2.86213,Comedy
Six Degrees of Separation, Mystery,112,8.730025,Mystery
Sleepless in Seattle, Comedy,105,10.234919,Comedy
Sliver, Drama,108,11.23297,Drama
Blade Runner, Science Fiction,117,96.272374,Science Fiction
Son in Law, Comedy,95,9.122718,Comedy
So I Married an Axe Murderer, Comedy,93,8.051914,Comedy
Striking Distance, Crime,102,13.390917,Crime
Harem, History,113,1.825468,History
Super Mario Bros., Adventure,104,7.198455,Adventure
Surviving the Game, Action,96,3.644641,Action
Terminal Velocity, Action,102,8.012225,Action
Thirty Two Short Films About Glenn Gould, Drama,93,0.873068,Drama
Threesome, Comedy,93,10.82236,Comedy
The Nightmare Before Christmas, Fantasy,76,17.730913,Fantasy
The Three Musketeers, Action,105,6.34785,Action
Tombstone, Action,130,11.338194,Action
Trial by Jury, Drama,107,0.85586,Drama
True Romance, Action,120,17.189328,Action
The War Room, Documentary,96,1.273617,Documentary
The Pagemaster, Fantasy,80,7.436001,Fantasy
"Paris, France", Drama,112,0.741522,Drama
"The Beans of Egypt, Maine",[],0,0.38247,[]
Killer, Thriller,97,0.422224,Thriller
Welcome to the Dollhouse, Comedy,88,5.14056,Comedy
Germinal, Drama,160,2.759302,Drama
Chasers, Comedy,102,9.85327,Comedy
Cronos, Drama,94,5.513024,Drama
Naked in New York, Comedy,95,0.449733,Comedy
Kika, Comedy,117,3.647321,Comedy
Bhaji on the Beach, Comedy,100,0.441585,Comedy
Little Big League, Comedy,119,1.960563,Comedy
Kådisbellan, Drama,102,1.764582,Drama
Wide Eyed and Legless, TV Movie,102,0.00015,TV Movie
Foreign Student, Drama,90,0.002789,Drama
Io speriamo che me la cavo, Comedy,100,3.456868,Comedy
Spanking the Monkey, Comedy,106,2.799575,Comedy
The Little Rascals, Romance,82,6.707109,Romance
À la mode, Comedy,82,8.20E-05,Comedy
Andre, Drama,94,3.139316,Drama
La scorta, Thriller,92,0.046196,Thriller
Princess Caraboo, Comedy,97,1.943323,Comedy
The Celluloid Closet, History,102,6.784687,History
Métisse, Drama,94,1.040873,Drama
Caro diario, Comedy,100,2.904734,Comedy
De eso no se habla, Romance,106,1.213481,Romance
The Brady Bunch Movie, Comedy,84,4.233092,Comedy
Home Alone, Comedy,103,0.702543,Comedy
Ghost, Fantasy,127,11.945397,Fantasy
Aladdin, Animation,90,16.357419,Animation
Terminator 2: Judgment Day, Action,137,22.661695,Action
Dances with Wolves, Adventure,181,11.654349,Adventure
Tough and Deadly, Thriller,92,0.426887,Thriller
